Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
13305 116th Avenue Northeast,Kirkland,Washington,98034,"Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $130), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $60), Track Cleaning (1, $191), Window Frame Cleaning  (1, $108), Pressure Washing - Driveway  (1, $340)",130,Composite - Architectural,3050,1249600,1190100,N/A,,Composite - Architectural,5 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
1331 37th Street Place Northeast,Puyallup,Washington,98372,"Gutter Clearing (1, $330), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1640), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $275), Screen Cleaning (1, $50), Track Cleaning (1, $191), Window Frame Cleaning  (1, $110), Window Cleaning Discount (1, $-80)",170,Composite - Architectural,2848,715800,741875,N/A,,Composite - Architectural,6 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
13310 Fox Run,Lake Oswego,Oregon,97034,"Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $270), Exterior Window Cleaning (1, $375), Screen Cleaning (1, $65), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $235), Track Cleaning (1, $229), Window Frame Cleaning  (1, $150)",170,Composite - Architectural,3741,1586500,1115363,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13312 North east 89th Street,Redmond,Washington,98052,"Inclusion (1, $0), Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $210), Interior Window Cleaning (1, $185), Exterior Window Cleaning (1, $240), Screen Cleaning (1, $30), Track Cleaning (1, $157), Window Frame Cleaning  (1, $96), Window Cleaning Discount (1, $-60), Skylight Cleaning (1, $30)",140,Composite - Architectural,1870,1053900,946063,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13313 Northeast 83rd Way,Vancouver,Washington,98682,"House Wash (1, $1550), Exterior Window Cleaning (1, $255), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $270), Exterior Gutter Washing (1, $215), Interior Window Cleaning (1, $205), Track Cleaning (1, $174), Window Frame Cleaning  (1, $102), Window Cleaning Discount (1, $-55)",150,Composite - Architectural,2321,651033,550301,2,,Composite - Architectural,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13315 89th Avenue Northeast,Kirkland,Washington,98034,"Moss Removal (1, $480), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-110), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $250), Interior Window Cleaning (1, $240), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $60), Track Cleaning (1, $204), Window Frame Cleaning  (1, $148), Window Cleaning Discount (1, $-80)",160,Composite - Architectural,3582,1732288,1800750,2,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
13315 89th Avenue Northeast,Kirkland,Washington,98034,"Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $240), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $60), Screen Cleaning Disclaimer (1, $0), Track Cleaning (1, $204), Window Frame Cleaning  (1, $148), 60-Day Workmanship Guarantee (1, $0)",160,Composite - Architectural,3582,1732288,1800750,2,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
1332 235th Place Southeast,Sammamish,Washington,98074,"Gutter Clearing (1, $410), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $265), Preventative Roof Treatment - Zinc Powder (1, $215), Exterior Gutter Washing (1, $330), Gutter Guard Installation (1, $2110), House Wash (1, $1950), Interior Window Cleaning (1, $345), Exterior Window Cleaning (1, $450), Screen Cleaning (1, $70), Track Cleaning (1, $293), Window Frame Cleaning  (1, $180), Window Cleaning Discount (1, $-65), Skylight Cleaning (1, $50), Pressure Washing - Driveway  (1, $675)",215,Composite - 3 Tab,4580,2692400,2456100,N/A,,Composite - 3 Tab,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
13320 115th Avenue Northeast,Kirkland,Washington,98034,"Gutter Clearing (1, $235), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Guard Removal/Disposal (1, $125), Booking Discount (1, $-25), 60-Day Workmanship Guarantee (1, $0), Moss Removal (1, $345), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $130), Exterior Gutter Washing (1, $170), Interior Window Cleaning (1, $155), Exterior Window Cleaning (1, $190), Screen Cleaning (1, $25), Track Cleaning (1, $131), Window Frame Cleaning  (1, $76), Window Cleaning Discount (1, $-35), Skylight Cleaning (1, $25)",130,Composite - Architectural,2310,1209400,1145163,N/A,,Composite - Architectural,4 / 12 or less,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
13321 Northeast 129th Street,Kirkland,Washington,98034,"Preventative Roof Treatment - Zinc Powder (1, $190), Gutter Clearing (1, $295), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $320), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $55), Window Cleaning Discount (1, $-65), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $240), Track Cleaning (1, $182), Window Frame Cleaning  (1, $128)",190,Composite - Architectural,2010,1454400,1483375,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13324 67th Avenue Southeast,Snohomish,Washington,98296,"Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $235), Gutter Guard Installation (1, $1450), Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $235), Screen Cleaning (1, $55), Track Cleaning (1, $148), Window Frame Cleaning  (1, $94), Window Cleaning Discount (1, $-70), Pressure Washing - Driveway (1, $300)",165,Composite - Architectural,1801,840250,762150,2,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
13325 17th Avenue Northeast,Seattle,Washington,98125,"Gutter Clearing (1, $250), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $125), House Wash (1, $995), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $260), Screen Cleaning (1, $45), Track Cleaning (1, $165), Window Frame Cleaning  (1, $104), Window Cleaning Discount (1, $-60), Pressure Washing - Driveway  (1, $450), Pressure Washing - Patio (1, $325)",125,Flat,1810,921200,885675,N/A,,Flat,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13325 Northeast 83rd Way,Vancouver,Washington,98682,"Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1375), Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $250), Screen Cleaning (1, $50), Track Cleaning (1, $148), Window Frame Cleaning  (1, $100), Window Cleaning Discount (1, $-60)",150,Composite - Architectural,1594,608890,528776,1,,Composite - Architectural,8 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,20ft,,,
13327 Southeast 176th Lane,Renton,Washington,98058,"Pressure Washing - Driveway  (1, $385), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $305), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1580), House Wash (1, $1320), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Track Cleaning (1, $182), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-65)",160,Composite - Architectural,2064,791900,642663,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
13327 Southeast Tumbleweed Court,Happy Valley,Oregon,97086,"Moss Removal (1, $450), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $260), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Reseal (1, $85), House Wash (1, $1450), Interior Window Cleaning (1, $179), Exterior Window Cleaning (1, $220), Screen Cleaning (1, $60), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-80), Booking Discount (1, $-230), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $260), Gutter Guard Installation (1, $2320), Track Cleaning (1, $152), Window Frame Cleaning  (1, $88), Pressure Washing - Driveway (1, $320)",260,Composite - Architectural,2186,445000,601750,2,,Composite - Architectural,10 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft,,,
13329 Greenwood Avenue North,Seattle,Washington,98133,"Gutter Clearing (1, $370), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $310), Gutter Guard Installation (1, $1985), Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $350), Screen Cleaning (1, $50), Track Cleaning (1, $208), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-80)",180,Composite - Architectural,2823,1299990,1010941,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
13329 Southeast Jordan Court,Happy Valley,Oregon,97086,"Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $225), Gutter Guard Installation (1, $1550), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Track Cleaning (1, $178), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-80)",160,Composite - Architectural,2678,744300,807550,N/A,,Composite - Architectural,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
1333 Ebbets Drive Southwest,Tumwater,Washington,98512,"Exterior Window Cleaning (1, $310), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $70), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $345), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1850), Track Cleaning (1, $204), Window Frame Cleaning  (1, $124)",180,Composite - Architectural,1865,449700,477788,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
13342 30th Avenue Northeast,Seattle,Washington,98125,"Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1215), Interior Window Cleaning (1, $205), Exterior Window Cleaning (1, $245), Screen Cleaning (1, $40), Track Cleaning (1, $174), Window Frame Cleaning  (1, $98), Window Cleaning Discount (1, $-95)",155,Composite - Architectural,2680,1114500,727925,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
13357 Southeast 68th Lane,Newcastle,Washington,98059,"Preventative Roof Treatment - Chemical Spray (1, $185), Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $225), Track Cleaning (1, $259), Window Frame Cleaning  (1, $146), Interior Window Cleaning (1, $305), Exterior Window Cleaning (1, $365), Screen Cleaning (1, $60), Preventative Roof Treatment - Zinc Powder (1, $160)",160,Composite - Architectural,N/A,N/A,799467,N/A,,Composite - Architectural,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft,,,
13369 Southeast 68th Lane,Newcastle,Washington,98059,"Exterior Window Cleaning (1, $365), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $60), Rooftop Sweep (1, $0), Gutter Clearing (1, $315), Minor Gutter Repairs (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $160), Track Cleaning (1, $259), Window Frame Cleaning  (1, $146), Interior Window Cleaning (1, $305)",160,Composite - Architectural,2027,1049900,1034757,N/A,,Composite - Architectural,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft,,,
134 North 177th Street,Shoreline,Washington,98133,"Gutter Reattachment (1, $225), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $120), Gutter Clearing (1, $225), Exterior Gutter Washing (1, $165), Gutter Guard Installation (1, $1020), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $240), Screen Cleaning (1, $30), Track Cleaning (1, $153), Window Frame Cleaning  (1, $96), Window Cleaning Discount (1, $-70), Skylight Cleaning (1, $30)",120,Composite - Architectural,1850,965000,1006825,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
134 Northeast Danbury Avenue,Hillsboro,Oregon,97124,"House Wash (1, $1320), Exterior Window Cleaning (1, $280), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-100), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $330), Exterior Gutter Washing (1, $220), Interior Window Cleaning (1, $220), Screen Cleaning (1, $50), Track Cleaning (1, $187), Window Frame Cleaning  (1, $112), Window Cleaning Discount (1, $-85)",170,Composite - Architectural,2275,609600,578700,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
1340 North 165th Street,Shoreline,Washington,98133,"Partial Moss Removal (1, $140), Preventative Roof Treatment - Chemical Spray (1, $225), Preventative Roof Treatment - Zinc Powder (1, $200), Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-70), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $300), Gutter Guard Installation (1, $1760), House Wash (1, $1820), Interior Window Cleaning (1, $260), Exterior Window Cleaning (1, $385), Screen Cleaning (1, $75), Track Cleaning (1, $221), Window Frame Cleaning  (1, $154), Window Cleaning Discount (1, $-85)",200,Composite - Architectural,2969,1090300,906138,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
13406 Northeast 45th Street,Bellevue,Washington,98005,"Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $205), Gutter Clearing (1, $380), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $340), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Gutter Guard Installation (1, $2435), Interior Window Cleaning (1, $285), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $55), Track Cleaning (1, $242), Window Frame Cleaning  (1, $148), Window Cleaning Discount (1, $-65), Skylight Cleaning (1, $90)",205,Cedar Shake,2790,2738800,3199488,N/A,,Cedar Shake,Steeper Than 12 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
13411 108th Street Northeast,Lake Stevens,Washington,98258,"Gutter Reseal (1, $225), Booking Discount (1, $-20), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $140), Gutter Clearing (1, $265), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $185), Exterior Window Cleaning (1, $260), Screen Cleaning (1, $35), Track Cleaning (1, $157), Window Frame Cleaning  (1, $104), Window Cleaning Discount (1, $-45), Skylight Cleaning (1, $25)",140,Composite - Architectural,1310,726600,1013198,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13412 Northeast Couch Street,Portland,Oregon,97230,"Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $190), Screen Cleaning (1, $30), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $270), Exterior Gutter Washing (1, $205), Gutter Guard Installation (1, $1150), Track Cleaning (1, $153), Window Frame Cleaning  (1, $96), Skylight Cleaning (1, $30)",150,Composite - Architectural,1463,428600,386469,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
13415 Wigen Road,Lynnwood,Washington,98087,"Interior Window Cleaning (1, $160), Exterior Window Cleaning (1, $200), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $45), Window Cleaning Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $125), Gutter Clearing (1, $230), Exterior Gutter Washing (1, $185), Gutter Guard Installation (1, $1150), Track Cleaning (1, $136), Window Frame Cleaning  (1, $80)",125,Composite - Architectural,1943,816300,740113,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft,,,
1342 North 167th Street,Shoreline,Washington,98133,"Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $240), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $320), Screen Cleaning (1, $90), Track Cleaning (1, $182), Window Frame Cleaning  (1, $128), Window Cleaning Discount (1, $-50)",165,Composite - Architectural,2478,1323300,909186,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13420 Bear Creek Road Northeast,Woodinville,Washington,98077,"Moss Removal (1, $745), Preventative Roof Treatment - Chemical Spray (1, $225), Preventative Roof Treatment - Zinc Powder (1, $200), Gutter Clearing (1, $355), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-120), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $300), Gutter Guard Installation (1, $1790), House Wash (1, $1720), Interior Window Cleaning (1, $470), Exterior Window Cleaning (1, $675), Screen Cleaning (1, $125), Track Cleaning (1, $399), Window Frame Cleaning  (1, $270), Window Cleaning Discount (1, $-100)",200,Composite - Architectural,3730,2486700,1400743,N/A,,Composite - Architectural,9 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13420 Northeast 69th Way,Redmond,Washington,98052,"Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $260), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $265), Exterior Gutter Washing (1, $210), House Wash (1, $1200), Track Cleaning (1, $153), Window Frame Cleaning  (1, $104), Skylight Cleaning (1, $25), Pressure Washing - Driveway (1, $425)",155,Composite - Architectural,1760,1476100,1339300,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
13421 31st Avenue Southeast,Mill Creek,Washington,98012,"Gutter Clearing (1, $360), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Discount  (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $305), Gutter Guard Installation (1, $1940), House Wash (1, $1340), Interior Window Cleaning (1, $240), Exterior Window Cleaning (1, $350), Screen Cleaning (1, $60), Track Cleaning (1, $204), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-80), Pressure Washing - Driveway & Front Walkway (1, $520)",180,Composite - Architectural,1702,845600,884286,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13422 Northeast 47th Street,Bellevue,Washington,98005,"Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $165), Gutter Clearing (1, $305), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $40), House Wash (1, $1285), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-85), Booking Discount (1, $-150), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1520), Track Cleaning (1, $182), Window Frame Cleaning  (1, $114), Pressure Washing - Driveway (1, $445)",165,Composite - Architectural,3009,2192400,2838200,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13425 Southwest Nahcotta Drive,Tigard,Oregon,97223,"Partial Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1680), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $60), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-80)",170,Composite - Architectural,3153,776600,773550,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
13430 South Fielding Road,Lake Oswego,Oregon,97034,"Preventative Roof Treatment - Chemical Spray (1, $260), Preventative Roof Treatment - Zinc Powder (1, $250), Gutter Clearing (1, $390), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Flush (1, $180), Booking Discount (1, $-120), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $340), Interior Window Cleaning (1, $290), Exterior Window Cleaning (1, $430), Screen Cleaning (1, $120), Track Cleaning (1, $246), Window Frame Cleaning  (1, $172), Window Cleaning Discount (1, $-150)",250,Composite - Architectural,4376,2354400,2407338,2,,Composite - Architectural,10 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft,,,
1350 Southeast 80th Avenue,Portland,Oregon,97215,"Moss Removal (1, $380), Preventative Roof Treatment - Chemical Spray (1, $130), Preventative Roof Treatment - Zinc Powder (1, $120), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $170), Exterior Window Cleaning (1, $280), Screen Cleaning (1, $80), Track Cleaning (1, $144), Window Frame Cleaning  (1, $112), Window Cleaning Discount (1, $-110), Pressure Washing - Driveway (1, $480)",120,Composite - Architectural,1740,544500,501763,2,,Composite - Architectural,8 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft,,,
13500 Northshire Road Northwest,Seattle,Washington,98177,"Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $250), Pressure Washing - Driveway & Front Walkway (1, $380), Pressure Washing - Patio (1, $490), Pressure Washing Driveway- Southeast Side (1, $530), Pressure Washing Front Door Walkway (1, $0), Exterior Window Cleaning (1, $380), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-200), Track Cleaning (1, $229), Window Frame Cleaning  (1, $152), Skylight Cleaning (1, $30), Preventative Roof Treatment - Chemical Spray (1, $180), Interior Window Cleaning (1, $270), Screen Cleaning (1, $60)",160,Composite - Architectural,3150,1449800,1409757,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,6ft,,,
13500 Northshire Road Northwest,Seattle,Washington,98177,"Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $250), Exterior Window Cleaning (1, $380), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0)",160,Composite - Architectural,3150,1449800,1409757,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,6ft,,,
13501 39th Avenue Northeast,Seattle,Washington,98125,"Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1450), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-60)",165,Composite - Architectural,2350,985500,908333,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
