Address,City,State,Zip,Gutter Clearing,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size
2517 Southwest Cloverdale Street,Seattle,Washington,98106,350,N/A,1170,507300,552413,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
1532 Northeast 89th Street,Seattle,Washington,98115,350,Built-up,3476,1919100,1168175,N/A,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
2837 Northwest 70th Street,Seattle,Washington,98117,350,Composition,3968,2233200,1259113,N/A,,,,,,,
10853 8th Avenue Northwest,Seattle,Washington,98177,350,Composition,2740,1597000,1398913,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
10853 8th Avenue Northwest,Seattle,Washington,98177,350,Composition,2740,1597000,1398913,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
4527A 40th Avenue Southwest,Seattle,Washington,98116,350,Composition,1620,902000,751688,Multi/Split,8 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
6569 5th Avenue Northeast Unit A,Seattle,Washington,98115,350,Composition,900,740000,1048023,Multi/Split,,,,,,,
5047 49th Avenue Southwest,Seattle,Washington,98136,350,N/A,2160,1080200,978963,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
205 Northwest 84th Court,Vancouver,Washington,98665,350,Tile,1590,505500,475850,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft
6406 Carleton Avenue South,Seattle,Washington,98108,350,N/A,450,519500,735440,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
117 Northeast 65th Street,Seattle,Washington,98115,350,N/A,1250,928600,1196763,N/A,12 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
5421 Phinney Avenue North,Seattle,Washington,98103,350,N/A,1430,906600,943738,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
4912A South Willow Street,Seattle,Washington,98118,350,N/A,1580,623100,569517,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
2451 55th Avenue Southwest Unit B,Seattle,Washington,98116,350,Composition,1360,866100,976788,N/A,,,,,,,
2451 55th Avenue Southwest Unit A,Seattle,Washington,98116,350,N/A,1360,879700,975088,N/A,,,,,,,
13602 Southeast 66th Court,Newcastle,Washington,98059,350,N/A,2027,1084400,147919,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
2841 Southwest Nevada Street,Seattle,Washington,98126,350,Composition,1535,687400,697000,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
566A Galer Street,Seattle,Washington,98109,350,Composition,1451,979900,951688,N/A,,,,,,,
566A Galer Street,Seattle,Washington,98109,350,Composition,1451,979900,951688,N/A,,,,,,,
6721 12th Avenue Southwest,Seattle,Washington,98106,350,N/A,910,687900,733425,N/A,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
8297 5th Avenue Northeast,Seattle,Washington,98115,350,N/A,1752,904000,899220,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,20+,32ft
4272 257th Place Southeast,Sammamish,Washington,98029,350,N/A,1990,1297100,1306475,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
4815 36th Avenue Northeast,Seattle,Washington,98105,350,Composition,2560,1621500,1272375,N/A,,,,,,,
7906 6th Avenue Northwest,Seattle,Washington,98117,350,N/A,1900,937200,704468,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
360 29th Avenue,Seattle,Washington,98122,350,Composition,2380,1287000,1353013,2,9 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
9238 25th Avenue Northwest,Seattle,Washington,98117,350,Tile,2640,1544200,1556163,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
6110 140th Court Northeast,Redmond,Washington,98052,350,Shake / Shingle,2380,2493000,1753757,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
25010 Southeast 31st Place,Sammamish,Washington,98075,350,Metal,2680,1252400,1065300,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
618 North 49th Street,Seattle,Washington,98103,350,Flat,1584,939000,819150,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
4028 34th Avenue South,Seattle,Washington,98118,350,N/A,2260,1018800,800543,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
720 Summit Avenue East,Seattle,Washington,98102,350,Flat,1721,1150000,1186375,Multi/Split,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
3749 South Dawson Street,Seattle,Washington,98118,350,Other,959,617500,N/A,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
2838 Southwest Adams Street Unit B,Seattle,Washington,98126,350,Shake / Shingle,1710,723100,664238,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
6006 14th Avenue Northwest #B,Seattle,Washington,98107,350,Composition,1500,855000,800314,Multi/Split,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
301 131st Avenue Northeast,Bellevue,Washington,98005,350,N/A,3440,1863600,2094350,N/A,4 / 12 or less,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
19809 13th Drive Southeast,Bothell,Washington,98012,350,Composition,3784,1755200,1203671,N/A,8 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
416 West Fulton Street,Seattle,Washington,98119,350,N/A,1950,1491200,926057,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
416 West Fulton Street,Seattle,Washington,98119,350,N/A,1950,1491200,926057,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
8756 25th Place Northeast,Seattle,Washington,98115,350,Metal,1704,996600,1271513,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
724 3rd Court South,Kirkland,Washington,98033,350,N/A,2911,2330900,2342311,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
3620 Palatine Avenue North,Seattle,Washington,98103,350,N/A,1428,977900,895380,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
8005 Northeast 116th Lane,Kirkland,Washington,98034,350,N/A,3050,1848200,1803988,N/A,4 / 12 or less,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5207 New Mexico Street,Vancouver,Washington,98661,350,Composition,3750,941000,833400,N/A,,,,,,,
1315 West Barrett Street,Seattle,Washington,98119,350,N/A,2450,1759100,1595,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5421 49th Avenue Southwest,Seattle,Washington,98136,350,N/A,3100,2080000,2142225,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
14400 27th Drive Southeast,Mill Creek,Washington,98012,350,N/A,2296,905000,1124263,Three Or More,,,,,,,
8751F 14th Avenue Northwest,Seattle,Washington,98117,350,Flat,1485,745000,804757,Multi/Split,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
1709 19th Avenue South Unit C,Seattle,Washington,98144,350,N/A,1470,747000,629029,N/A,,,,,,,
2112 14th Avenue South,Seattle,Washington,98144,350,N/A,1954,995200,639600,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
17917 Stone Avenue North Unit A,Shoreline,Washington,98133,350,Flat,1862,845000,843248,Multi/Split,,,,,,,
2022 Northwest 61st Street,Seattle,Washington,98107,350,N/A,1900,1086400,1044071,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
1138 10th Avenue East Unit B,Seattle,Washington,98102,350,N/A,1669,1040500,1179675,N/A,,,,,,,
424 Northwest Market Street,Seattle,Washington,98107,350,N/A,1500,771900,746864,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
3311A Claremont Avenue South,Seattle,Washington,98144,350,N/A,1230,664600,668640,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
13638 Southeast 66th Court,Newcastle,Washington,98059,350,N/A,2027,1126600,147919,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
13337 Southeast 68th Place,Newcastle,Washington,98059,350,N/A,N/A,1829500,457044,N/A,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
13638 Southeast 66th Court,Newcastle,Washington,98059,350,N/A,2027,1126600,147919,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
1434 A Northwest 59th Street,Seattle,Washington,98107,350,N/A,1270,736800,542275,N/A,8 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
1408 East Harrison Street,Seattle,Washington,98112,350,N/A,1400,897400,1122938,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
9702 35th Avenue Northeast,Seattle,Washington,98115,350,Flat,2800,1452500,1072463,2,,,,,,,
8320 Southeast 61st Street,Mercer Island,Washington,98040,350,Shake / Shingle,3030,2577900,2587025,N/A,,,,,,,
1938 Riva Lane Northwest,Issaquah,Washington,98027,350,Composition,2422,1116100,1254622,N/A,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
14436 Moonridge Lane Southeast,Olalla,Washington,98359,350,Composition,1685,701200,552813,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft
1617 21st Avenue,Seattle,Washington,98122,350,Flat,2340,1400000,1171900,Multi/Split,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
3948 South Juneau Street,Seattle,Washington,98118,350,N/A,2200,969800,742163,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
213 21st Avenue,Seattle,Washington,98122,350,N/A,1370,966400,942875,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
711 34th Avenue,Seattle,Washington,98122,350,Torch Down,1042,859950,1015406,2,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
2584 3rd Avenue West,Seattle,Washington,98119,350,Composition,1190,830400,1143438,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5024 Puget Boulevard Southwest,Seattle,Washington,98106,350,N/A,3436,1294800,1134588,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
19021 51st Avenue Southeast,Bothell,Washington,98012,350,Composition,3081,1630300,1727050,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,32ft,9 - 20,32ft
7439 Latona Avenue Northeast,Seattle,Washington,98115,350,Flat,1440,968000,1044913,Multi/Split,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
2420 East Highland Drive,Seattle,Washington,98112,350,Flat,2741,2275000,1304938,3,4 / 12 or less,1 - 3,40ft,9 - 20,40ft,9 - 20,32ft
7439 Latona Avenue Northeast,Seattle,Washington,98115,350,Flat,1440,968000,1044913,Multi/Split,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
1825 Northeast 58th Street,Seattle,Washington,98105,350,Metal,1986,1185000,1345750,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
13434 Northeast 54th Place,Bellevue,Washington,98005,350,Other,2700,3061600,3346113,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
13434 Northeast 54th Place,Bellevue,Washington,98005,350,Other,2700,3061600,3346113,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
13434 Northeast 54th Place,Bellevue,Washington,98005,350,Other,2700,3061600,3346113,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
3038 Beacon Avenue South,Seattle,Washington,98144,350,Composition,1530,740000,734688,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
9515 15th Avenue Northeast,Seattle,Washington,98115,350,N/A,1920,1127600,899088,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
1631 26th Avenue,Seattle,Washington,98122,350,N/A,2211,1652200,906663,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
1045 Skyland Drive,Lake Oswego,Oregon,97034,350,Other,3942,2050700,2529475,N/A,9 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft
1045 Skyland Drive,Lake Oswego,Oregon,97034,350,Other,3942,2050700,2529475,N/A,9 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft
1045 Skyland Drive,Lake Oswego,Oregon,97034,350,Other,3942,2050700,2529475,N/A,9 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,20ft
12016 33rd Avenue Northeast,Seattle,Washington,98125,350,N/A,1499,722300,606414,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
11925 11th Place Southwest,Seattle,Washington,98146,350,N/A,N/A,N/A,719788,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
4025 Midvale Avenue North,Seattle,Washington,98103,350,N/A,440,N/A,915350,N/A,Steeper Than 12 / 12,4 - 8,40ft,9 - 20,40ft,9 - 20,40ft
314 Northwest 41st Street Unit C,Seattle,Washington,98107,350,N/A,1926,1067100,1102200,N/A,,,,,,,
18113 East Spring Lake Drive Southeast,Renton,Washington,98058,350,Composition,3080,1638600,1067913,N/A,6 / 12,1 - 3,20ft,1 - 3,28ft,9 - 20,28ft
2406 Northwest 63rd Street,Seattle,Washington,98107,350,N/A,4427,1679300,1077750,N/A,,,,,,,
56 Chapman Loop,Steilacoom,Washington,98388,350,Other,3882,1509100,1141288,N/A,5 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
1532 Northeast 89th Street,Seattle,Washington,98115,350,Built-up,3476,1919100,1168175,N/A,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
9015 26th Avenue Northwest,Seattle,Washington,98117,350,N/A,2820,1433600,1569763,N/A,,,,,,,
9015 26th Avenue Northwest,Seattle,Washington,98117,350,N/A,2820,1433600,1569763,N/A,,,,,,,
4935 Southwest Forney Street,Seattle,Washington,98116,350,Metal,2900,1452500,1125644,N/A,5 / 12,1 - 3,40ft,1 - 3,40ft,20+,32ft
1319 North 49th Street,Seattle,Washington,98103,350,N/A,2845,1363400,655280,N/A,7 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
6307 26th Avenue Northwest,Seattle,Washington,98107,350,N/A,1710,1067900,1177617,N/A,,,,,,,
4057 Northeast 56th Street,Seattle,Washington,98105,350,N/A,1390,1459400,1654975,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
706 South Orcas Street,Seattle,Washington,98108,350,Flat,1540,755000,683800,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
6259 Palatine Avenue North,Seattle,Washington,98103,350,Composition,3120,2196600,1206613,N/A,9 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
6721 40th Avenue Southwest,Seattle,Washington,98136,350,N/A,1950,1214400,1183613,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
4837 Forest Avenue Southeast,Mercer Island,Washington,98040,350,N/A,2770,6954700,5360175,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
2025 Northwest 62nd Street Unit A,Seattle,Washington,98107,350,N/A,1528,939300,954775,N/A,,,,,,,
18327 1st Avenue Northeast,Shoreline,Washington,98155,350,Composition,1400,718500,799750,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
716 Martin Luther King Junior Way Unit A,Seattle,Washington,98122,350,Flat,1200,640000,688179,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
311 Northeast 58th Street,Seattle,Washington,98105,350,Other,2320,1254800,1083763,N/A,,,,,,,
212 26th Avenue East,Seattle,Washington,98112,350,N/A,1561,946000,917071,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
212 26th Avenue East,Seattle,Washington,98112,350,N/A,1561,946000,917071,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
15425 2nd Avenue Northeast Unit B,Shoreline,Washington,98177,350,N/A,1420,634700,665313,N/A,,,,,,,
1609 21st Avenue Unit B,Seattle,Washington,98122,350,N/A,N/A,N/A,787186,N/A,6 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
2329 Southeast 51st Avenue,Portland,Oregon,97215,350,Shake / Shingle,1380,725900,687350,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
1825 Northeast 58th Street,Seattle,Washington,98105,350,Metal,1986,1185000,1345750,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
190 Northwest Madrona Drive,Shoreline,Washington,98177,350,Tile,8023,5000000,4083613,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
2613 Northeast 184th Place,Lake Forest Park,Washington,98155,350,N/A,2620,1056500,1066586,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5242 Northeast 22nd Avenue,Portland,Oregon,97211,350,Composition,1790,676400,584813,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
308 20th Avenue South Unit B,Seattle,Washington,98144,350,Composition,830,519300,515463,N/A,,,,,,,
1225 Northwest 25th Avenue,Portland,Oregon,97210,350,Composition,3610,1145350,1247500,N/A,9 / 12,1 - 3,32ft,1 - 3,32ft,4 - 8,20ft
1445 East Howell Street,Seattle,Washington,98122,350,Flat,1054,749950,496575,Multi/Split,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
1506 19th Avenue,Seattle,Washington,98122,350,N/A,2200,1070100,1064967,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
1112 North Jackson Avenue,Tacoma,Washington,98406,350,Composition,2667,1077500,904975,N/A,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1435 242nd Place Southeast,Bothell,Washington,98021,345,Composition,3724,1900000,1918475,2,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
1236 268th Way Southeast,Sammamish,Washington,98075,345,N/A,2900,1720200,1992913,N/A,,,,,,,
12247 169th Place Northeast,Redmond,Washington,98052,345,N/A,3340,2292300,1936900,N/A,,,,,,,
8420 Northwest Copeland Street,Portland,Oregon,97229,345,Composition,3227,1104000,753135,2,Steeper Than 12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
13030 12th Avenue Northwest,Seattle,Washington,98177,345,N/A,3040,1750100,1489350,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
499 233rd Place Southeast,Sammamish,Washington,98074,345,N/A,4170,2287200,2088000,N/A,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
12414 Southeast 29th Street,Bellevue,Washington,98005,345,Asphalt,4335,3307100,1451000,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
12414 Southeast 29th Street,Bellevue,Washington,98005,345,Asphalt,4335,3307100,1451000,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
9714 Marmount Drive Northwest,Seattle,Washington,98117,345,Composition,2690,2016000,1504713,2,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
9510 112th Avenue Northeast,Kirkland,Washington,98033,345,Composition,4449,3753100,2359875,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
211 Hayes Street,Seattle,Washington,98109,345,Composition,1972,1525800,1315550,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
18543 Northeast 19th Place,Bellevue,Washington,98008,345,Composition,3660,2374200,1945750,N/A,6 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,28ft
20208 216th Avenue Southeast,Renton,Washington,98058,345,N/A,3100,946300,622438,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
12307 10th Place Northeast Unit A,Seattle,Washington,98125,345,N/A,1500,652800,629250,N/A,,,,,,,
12307 10th Place Northeast Unit A,Seattle,Washington,98125,345,N/A,1500,652800,629250,N/A,,,,,,,
13509 168th Avenue Northeast,Redmond,Washington,98052,345,Composition,3560,1807700,1799000,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
9626 Mary Avenue Northwest,Seattle,Washington,98117,345,N/A,3190,1576400,949363,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,28ft
1213 North Jefferson Street,Lafayette,Oregon,97127,345,Composition,3077,630000,514375,2,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
7916 32nd Street Northeast,Marysville,Washington,98270,345,Composition,2724,790000,706088,2,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
6249 119th Place Southeast,Bellevue,Washington,98006,345,Built-up,2570,1543100,1740538,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
2207 5th Avenue North,Seattle,Washington,98109,345,Asphalt,3020,2048200,1978838,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
2207 5th Avenue North,Seattle,Washington,98109,345,Asphalt,3020,2048200,1978838,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
6835 North Albina Avenue,Portland,Oregon,97217,345,Shake / Shingle,1500,508600,572389,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,4 - 8,28ft
4825 Southwest Evans Street,Portland,Oregon,97219,345,Shake / Shingle,3090,1052900,670938,N/A,,,,,,,
1333 Ebbets Drive Southwest,Tumwater,Washington,98512,345,Asphalt,1865,449700,477788,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
10940 240th Avenue Northeast,Redmond,Washington,98053,345,N/A,2520,1702400,1685575,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
6412 151st Street Southeast,Snohomish,Washington,98296,345,Composition,2460,1053000,1030113,2,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
9701 South 237th Place,Kent,Washington,98031,345,N/A,2960,804200,728500,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
5636 40th Avenue Southwest,Seattle,Washington,98136,345,Composition,1840,991900,1063300,N/A,8 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
13221 Northeast 135th Court,Kirkland,Washington,98034,345,N/A,2200,1381800,1522288,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
4718 244th Court Southeast,Issaquah,Washington,98029,345,Composition,3067,1633000,1334600,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
6513 Southeast 7th Place,Renton,Washington,98059,345,Composition,3870,1458900,1248208,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
6020 Southeast Raymond Street,Portland,Oregon,97206,345,Composition,2025,667000,392025,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
2332 Southeast Yamhill Street,Portland,Oregon,97214,345,Composition,2685,937800,611160,3,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
25744 Southeast 41st Street,Sammamish,Washington,98029,345,N/A,2050,1266700,1377475,N/A,,,,,,,
1615 4th Avenue West,Seattle,Washington,98119,345,Shake / Shingle,1295,715600,1436625,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,20+,28ft
11381 Southeast 78th Terrace,Newcastle,Washington,98056,345,Composition,4123,2200000,2262963,2,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
7830 Northwest 167th Avenue,Portland,Oregon,97229,345,Composition,3424,1109300,1039475,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
7830 Northwest 167th Avenue,Portland,Oregon,97229,345,Composition,3424,1109300,1039475,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
112 215th Street Southeast,Bothell,Washington,98021,345,Composition,3380,1604500,1272625,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
23432 9th Avenue Southeast,Bothell,Washington,98021,345,Asphalt,2092,966100,994775,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
22823 98th Place South,Kent,Washington,98031,345,N/A,N/A,N/A,792763,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1305 Southeast 194th Place,Camas,Washington,98607,345,N/A,2613,670900,625150,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
1807 Mariner Circle Northeast,Tacoma,Washington,98422,345,Composition,2890,781500,798550,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
4229 243rd Avenue Southeast,Issaquah,Washington,98029,345,N/A,1900,1212700,1201988,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
20313 86th Place Northeast,Bothell,Washington,98011,345,Shake / Shingle,3810,1490900,1488563,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
3115 Cardinal Drive Northwest,Olympia,Washington,98502,345,Composition,2636,605000,600550,2,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
26924 Northeast Cherry Street,Duvall,Washington,98019,345,Asphalt,2670,1144200,710163,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5610 44th Avenue Southwest,Seattle,Washington,98136,345,N/A,2130,1263800,789938,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
911 11th Avenue East,Seattle,Washington,98102,345,Composition,2920,1575000,1081338,2,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
28535 Southwest Canyon Creek Road,Wilsonville,Oregon,97070,345,N/A,3331,969800,951713,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
28535 Southwest Canyon Creek Road,Wilsonville,Oregon,97070,345,N/A,3331,969800,951713,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
15738 Northeast Siskiyou Court,Portland,Oregon,97230,345,Shake / Shingle,3720,669400,629350,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
15439 Southeast Woodcraft Lane,Happy Valley,Oregon,97086,345,Composition,2255,709960,644608,3,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
8848 Southeast 74th Place,Mercer Island,Washington,98040,345,N/A,3390,2674300,2716563,N/A,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
6729 Alonzo Avenue Northwest,Seattle,Washington,98117,345,N/A,1641,966300,887086,N/A,,,,,,,
15333 Beach Drive Northeast,Lake Forest Park,Washington,98155,345,Composition,3370,1875200,2121314,N/A,,,,,,,
6536 51st Avenue Northeast,Seattle,Washington,98115,345,Composition,3590,2130300,2160375,N/A,6 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
